Epoch,Train Loss,Train Accuracy,Train Kappa
1.0,0.608,0.679,0.274
2.0,0.549,0.722,0.622
3.0,0.52,0.745,0.429
4.0,0.504,0.752,0.702
5.0,0.502,0.758,0.311
6.0,0.485,0.769,0.69
7.0,0.485,0.771,0.552
8.0,0.48,0.771,0.419
9.0,0.475,0.777,0.191
10.0,0.47,0.777,0.85
11.0,0.47,0.776,0.419
12.0,0.468,0.784,0.852
13.0,0.461,0.784,0.455
14.0,0.46,0.785,0.552
15.0,0.46,0.783,0.488
16.0,0.455,0.789,0.488
17.0,0.455,0.788,0.842
18.0,0.453,0.79,0.599
19.0,0.451,0.788,0.705
20.0,0.448,0.791,0.78
21.0,0.448,0.79,0.71
22.0,0.447,0.793,0.143
23.0,0.445,0.792,0.526
24.0,0.436,0.8,0.63
25.0,0.44,0.795,0.565
