Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1147,0.7998,0.5992
2,0.0919,0.8441,0.6878
3,0.0848,0.8608,0.7213
4,0.0779,0.8724,0.7445
5,0.0724,0.8819,0.7634
6,0.0698,0.8864,0.7725
7,0.0633,0.8955,0.7908
8,0.059,0.9042,0.8081
9,0.0551,0.9111,0.8219
10,0.0516,0.9199,0.8396
11,0.0478,0.9249,0.8496
12,0.0467,0.928,0.8559
13,0.0339,0.9502,0.9004
14,0.0255,0.9626,0.9251
15,0.0215,0.9681,0.9361
16,0.02,0.9699,0.9397
17,0.0175,0.9761,0.9523
18,0.016,0.9758,0.9516
19,0.0142,0.9792,0.9583
20,0.0141,0.9794,0.9587
21,0.0137,0.9794,0.9587
22,0.0129,0.9805,0.961
23,0.0125,0.9809,0.9618
24,0.0128,0.9821,0.9643
25,0.0125,0.982,0.9639
