Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1054,0.8122,0.6239
2,0.0826,0.8617,0.7231
3,0.0695,0.8872,0.7741
4,0.061,0.8998,0.7993
5,0.052,0.9215,0.8429
6,0.0444,0.932,0.8638
7,0.0417,0.937,0.8739
8,0.035,0.9487,0.8974
9,0.0286,0.958,0.9159
10,0.028,0.9608,0.9216
11,0.0239,0.9654,0.9307
12,0.021,0.9689,0.9378
13,0.0219,0.9691,0.9381
14,0.0087,0.9893,0.9786
15,0.0049,0.9937,0.9875
16,0.0036,0.9951,0.9901
17,0.0031,0.9962,0.9924
18,0.0025,0.9971,0.9942
19,0.002,0.9978,0.9956
20,0.0017,0.9984,0.9967
21,0.0018,0.9981,0.9962
22,0.0016,0.9984,0.9967
23,0.0015,0.9979,0.9959
24,0.0016,0.998,0.996
25,0.0015,0.9983,0.9965
