Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1109,0.8071,0.6137
2,0.0895,0.8485,0.6965
3,0.0798,0.8667,0.733
4,0.0721,0.8812,0.7621
5,0.0678,0.8889,0.7776
6,0.0611,0.905,0.8097
7,0.055,0.9151,0.83
8,0.053,0.914,0.8277
9,0.0462,0.9283,0.8565
10,0.0419,0.9339,0.8678
11,0.0399,0.9414,0.8827
12,0.0344,0.9472,0.8943
13,0.0225,0.9682,0.9364
14,0.0153,0.9778,0.9555
15,0.0124,0.9832,0.9664
16,0.0108,0.9852,0.9704
17,0.0099,0.9878,0.9756
18,0.0077,0.9903,0.9806
19,0.0068,0.9912,0.9824
20,0.0061,0.992,0.984
21,0.0059,0.9927,0.9853
22,0.0055,0.9926,0.9852
23,0.0054,0.9937,0.9873
24,0.0052,0.9932,0.9863
25,0.0056,0.9923,0.9847
