Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1075,0.813,0.6257
2,0.0909,0.8458,0.6914
3,0.0813,0.8611,0.722
4,0.0733,0.8806,0.7611
5,0.0681,0.8896,0.779
6,0.0623,0.8983,0.7965
7,0.0584,0.9079,0.8157
8,0.0529,0.9177,0.8353
9,0.0498,0.9198,0.8395
10,0.0446,0.9316,0.8632
11,0.0415,0.9364,0.8727
12,0.0405,0.9381,0.8762
13,0.0351,0.9495,0.8989
14,0.0248,0.9652,0.9304
15,0.0201,0.9736,0.9472
16,0.0171,0.976,0.9519
17,0.0148,0.9812,0.9623
18,0.0141,0.9826,0.9651
19,0.0115,0.9845,0.9691
20,0.0117,0.9854,0.9707
21,0.0105,0.9865,0.973
22,0.0117,0.9859,0.9717
23,0.0104,0.988,0.976
24,0.0106,0.9874,0.9748
25,0.0106,0.9889,0.9778
