Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1137,0.8003,0.6005
2,0.0811,0.8609,0.7216
3,0.0678,0.8875,0.7748
4,0.0511,0.9172,0.8342
5,0.0442,0.9308,0.8615
6,0.0366,0.9427,0.8854
7,0.0288,0.9576,0.9152
8,0.0265,0.9622,0.9243
9,0.0213,0.9701,0.9401
10,0.0191,0.9748,0.9496
11,0.0116,0.9853,0.9705
12,0.0081,0.9907,0.9814
13,0.0068,0.9924,0.9849
14,0.0058,0.9937,0.9875
15,0.0051,0.994,0.988
16,0.0048,0.9949,0.9898
17,0.0039,0.9961,0.9921
18,0.0044,0.9952,0.9905
19,0.0041,0.9965,0.9929
20,0.0036,0.9964,0.9928
21,0.004,0.9956,0.9911
22,0.0038,0.9961,0.9923
23,0.0043,0.9952,0.9905
24,0.0031,0.9973,0.9946
25,0.0035,0.9969,0.9937
