Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.117,0.7921,0.584
2,0.1014,0.8232,0.6461
3,0.0932,0.8436,0.6869
4,0.088,0.8518,0.7033
5,0.083,0.8608,0.7213
6,0.0779,0.8676,0.735
7,0.078,0.8704,0.7406
8,0.072,0.881,0.7617
9,0.0692,0.8879,0.7755
10,0.0661,0.8914,0.7826
11,0.0643,0.8944,0.7885
12,0.0608,0.9,0.7997
13,0.0589,0.9078,0.8154
14,0.0494,0.9209,0.8417
15,0.046,0.9279,0.8556
16,0.0452,0.9293,0.8584
17,0.0423,0.9328,0.8655
18,0.0417,0.9344,0.8686
19,0.0417,0.9333,0.8665
20,0.0402,0.9363,0.8726
21,0.039,0.9384,0.8767
22,0.0379,0.9407,0.8813
23,0.0387,0.9407,0.8813
24,0.0382,0.9382,0.8763
25,0.0384,0.9412,0.8823
