Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1111,0.8068,0.6133
2,0.0917,0.8476,0.6949
3,0.0822,0.8662,0.7323
4,0.0731,0.8806,0.761
5,0.0683,0.89,0.7799
6,0.0623,0.9008,0.8014
7,0.0585,0.9058,0.8115
8,0.0566,0.9101,0.8201
9,0.0514,0.9204,0.8406
10,0.0476,0.926,0.8518
11,0.0452,0.9288,0.8576
12,0.0414,0.9372,0.8742
13,0.0417,0.9344,0.8686
14,0.0372,0.9441,0.8881
15,0.0247,0.9657,0.9314
16,0.0186,0.9716,0.9432
17,0.017,0.976,0.9519
18,0.0152,0.9788,0.9575
19,0.0132,0.982,0.964
20,0.0112,0.9839,0.9677
21,0.0106,0.9839,0.9677
22,0.0106,0.9849,0.9697
23,0.0105,0.9859,0.9719
24,0.0108,0.9859,0.9717
25,0.0103,0.9859,0.9717
