Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1782,0.7005,0.4006
2,0.1091,0.8036,0.607
3,0.1025,0.8217,0.643
4,0.0956,0.8356,0.6709
5,0.0874,0.851,0.7017
6,0.0841,0.8586,0.7168
7,0.0818,0.8605,0.7206
8,0.0791,0.8669,0.7335
9,0.0745,0.8767,0.7531
10,0.0712,0.8796,0.759
11,0.0709,0.8843,0.7684
12,0.0676,0.892,0.7837
13,0.066,0.8921,0.7839
14,0.0617,0.8979,0.7956
15,0.0579,0.909,0.8178
16,0.0586,0.9067,0.8132
17,0.0536,0.9166,0.833
18,0.0525,0.9186,0.8371
19,0.0506,0.9194,0.8386
20,0.0501,0.9237,0.8472
21,0.0477,0.928,0.8559
22,0.0423,0.9344,0.8688
23,0.0236,0.967,0.934
24,0.0172,0.9743,0.9486
25,0.0145,0.9789,0.9579
