Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1098,0.807,0.6138
2,0.0915,0.8462,0.6921
3,0.0831,0.8615,0.7228
4,0.0779,0.8704,0.7406
5,0.0717,0.8808,0.7613
6,0.0657,0.8943,0.7884
7,0.0646,0.8943,0.7884
8,0.0583,0.9087,0.8171
9,0.0539,0.9163,0.8324
10,0.0499,0.9233,0.8465
11,0.0482,0.9247,0.8493
12,0.044,0.9314,0.8627
13,0.0424,0.9355,0.8709
14,0.0394,0.9397,0.8794
15,0.0365,0.9445,0.8888
16,0.0334,0.9485,0.8969
17,0.0334,0.9485,0.897
18,0.0193,0.9722,0.9444
19,0.0127,0.9822,0.9644
20,0.0109,0.9851,0.9702
21,0.0096,0.9863,0.9726
22,0.0083,0.9889,0.9777
23,0.0073,0.9896,0.9792
24,0.0064,0.9914,0.9828
25,0.0055,0.9934,0.9867
