Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1041,0.8184,0.6364
2,0.0847,0.8553,0.7104
3,0.0771,0.8732,0.7463
4,0.0703,0.8851,0.77
5,0.0634,0.8988,0.7975
6,0.0576,0.9069,0.8136
7,0.0532,0.9168,0.8335
8,0.0476,0.9255,0.8509
9,0.0417,0.9325,0.865
10,0.0398,0.9362,0.8722
11,0.0347,0.9463,0.8925
12,0.0339,0.9488,0.8975
13,0.0296,0.9582,0.9164
14,0.0157,0.9782,0.9564
15,0.0103,0.9865,0.973
16,0.0078,0.9891,0.9781
17,0.0068,0.9913,0.9826
18,0.0057,0.9928,0.9855
19,0.0056,0.9925,0.985
20,0.0041,0.9948,0.9896
21,0.0041,0.9944,0.9888
22,0.0039,0.9949,0.9897
23,0.0043,0.9942,0.9884
24,0.0033,0.9957,0.9914
25,0.0038,0.9955,0.9909
