Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1103,0.8107,0.6212
2,0.0954,0.8399,0.6797
3,0.0869,0.8566,0.713
4,0.0815,0.8675,0.7348
5,0.0761,0.8782,0.7562
6,0.0732,0.8834,0.7667
7,0.0688,0.8888,0.7774
8,0.0655,0.8936,0.7871
9,0.062,0.9,0.7999
10,0.0477,0.9281,0.8561
11,0.0412,0.9373,0.8746
12,0.0373,0.944,0.8879
13,0.0343,0.9504,0.9008
14,0.032,0.9514,0.9027
15,0.0298,0.955,0.9099
16,0.0283,0.9572,0.9143
17,0.0247,0.9644,0.9288
18,0.0254,0.9627,0.9253
19,0.0248,0.9643,0.9286
20,0.0243,0.9633,0.9267
21,0.0238,0.9667,0.9334
22,0.0246,0.9649,0.9298
23,0.0231,0.9676,0.9352
24,0.0228,0.9662,0.9324
25,0.023,0.9675,0.9349
