Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1094,0.8111,0.6219
2,0.0817,0.8646,0.729
3,0.0724,0.8865,0.7729
4,0.0598,0.906,0.8118
5,0.0548,0.9167,0.8334
6,0.0458,0.9302,0.8604
7,0.0406,0.9402,0.8803
8,0.0361,0.9471,0.8941
9,0.0322,0.9546,0.9091
10,0.0295,0.9597,0.9193
11,0.0288,0.9614,0.9227
12,0.023,0.9693,0.9385
13,0.0155,0.9805,0.961
14,0.0107,0.9863,0.9726
15,0.0077,0.991,0.982
16,0.0072,0.9909,0.9818
17,0.0054,0.9935,0.987
18,0.0055,0.9932,0.9863
19,0.005,0.9936,0.9872
20,0.0045,0.9949,0.9899
21,0.0048,0.9939,0.9878
22,0.0048,0.9944,0.9888
23,0.0043,0.9947,0.9895
24,0.0044,0.9949,0.9899
25,0.0043,0.9952,0.9904
