Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1168,0.7907,0.5813
2,0.1035,0.823,0.6458
3,0.0956,0.8348,0.6694
4,0.0902,0.8476,0.6951
5,0.0869,0.8574,0.7145
6,0.0838,0.8615,0.7227
7,0.0799,0.8667,0.7333
8,0.0785,0.8699,0.7396
9,0.0743,0.878,0.7558
10,0.0728,0.8797,0.7592
11,0.0704,0.8841,0.768
12,0.0667,0.8915,0.7828
13,0.0653,0.8936,0.787
14,0.063,0.9006,0.8011
15,0.0607,0.9038,0.8076
16,0.0606,0.9025,0.8049
17,0.0501,0.9219,0.8437
18,0.0452,0.928,0.8559
19,0.0435,0.9325,0.8649
20,0.0434,0.9335,0.8669
21,0.0413,0.9366,0.873
22,0.0406,0.9388,0.8775
23,0.0394,0.9388,0.8775
24,0.0388,0.9398,0.8796
25,0.0378,0.9403,0.8806
