Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1145,0.7995,0.5988
2,0.0967,0.8367,0.673
3,0.0878,0.8564,0.7125
4,0.0824,0.8646,0.7289
5,0.0785,0.8698,0.7395
6,0.0737,0.8825,0.7649
7,0.0712,0.8857,0.7712
8,0.0666,0.8977,0.7953
9,0.0639,0.9012,0.8023
10,0.0607,0.9062,0.8123
11,0.0588,0.907,0.8139
12,0.0548,0.915,0.83
13,0.0519,0.9212,0.8424
14,0.0503,0.9231,0.846
15,0.0467,0.9297,0.8594
16,0.0456,0.9312,0.8624
17,0.0452,0.9325,0.8649
18,0.0295,0.9572,0.9143
19,0.0216,0.9683,0.9367
20,0.0219,0.9689,0.9379
21,0.0196,0.9705,0.9409
22,0.0169,0.9764,0.9527
23,0.0163,0.9756,0.9513
24,0.0165,0.9762,0.9525
25,0.0139,0.9801,0.9601
