Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1375,0.7494,0.4985
2,0.1038,0.8188,0.6372
3,0.0956,0.839,0.6778
4,0.09,0.8452,0.6901
5,0.0868,0.8545,0.7087
6,0.0829,0.8595,0.7187
7,0.0811,0.8673,0.7343
8,0.0761,0.8756,0.751
9,0.0754,0.8782,0.7561
10,0.0735,0.8782,0.7563
11,0.0702,0.8848,0.7694
12,0.0647,0.8977,0.7953
13,0.0635,0.8984,0.7966
14,0.0619,0.901,0.8017
15,0.0586,0.9058,0.8113
16,0.0553,0.9137,0.8272
17,0.0541,0.9156,0.8311
18,0.0532,0.9129,0.8257
19,0.0492,0.9222,0.8443
20,0.0469,0.9264,0.8527
21,0.0475,0.9267,0.8533
22,0.0285,0.9594,0.9187
23,0.02,0.9729,0.9457
24,0.0178,0.9731,0.9461
25,0.0151,0.9787,0.9575
