Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.1034,0.8232,0.6462
2,0.0824,0.8649,0.7295
3,0.0677,0.8924,0.7846
4,0.0598,0.9029,0.8055
5,0.0521,0.9206,0.841
6,0.0453,0.9291,0.8582
7,0.0386,0.9431,0.8861
8,0.0346,0.9497,0.8992
9,0.0321,0.9526,0.9052
10,0.0253,0.9629,0.9259
11,0.024,0.9654,0.9309
12,0.011,0.9866,0.9731
13,0.0064,0.9912,0.9824
14,0.0046,0.9939,0.9879
15,0.0039,0.9951,0.9903
16,0.004,0.995,0.99
17,0.0022,0.9972,0.9943
18,0.0023,0.9968,0.9935
19,0.0022,0.997,0.9941
20,0.0019,0.9975,0.995
21,0.0022,0.9974,0.9949
22,0.002,0.998,0.9961
23,0.002,0.998,0.9959
24,0.0017,0.9978,0.9957
25,0.0018,0.9977,0.9954
