Epoch,Accuracy,Precision,Recall,F1-Score,Loss,TP,TN,FP,FN,Kappa
1,0.8369336143308747,0.8385869565217391,0.8273458445040215,0.8329284750337382,0.09266819041006431,1543,1634,297,322,0.6736938583359486
2,0.8553740779768177,0.8572204125950055,0.8466487935656837,0.8519018073914217,0.08537001633041148,1579,1668,263,286,0.7105996962691318
3,0.8659114857744995,0.8821871476888388,0.839142091152815,0.8601264083539433,0.08117483597095698,1565,1722,209,300,0.7315180006625328
4,0.8653846153846154,0.9279393173198482,0.7871313672922252,0.8517551494052799,0.08155909973590215,1468,1817,114,397,0.7299876168437651
5,0.8627502634351949,0.8939038686987104,0.8176943699731903,0.8541024922990759,0.08128476500888017,1525,1750,181,340,0.7250168795473277
6,0.8722339304531085,0.8979238754325259,0.83485254691689,0.86524034454015,0.07899717680199192,1557,1754,177,308,0.7440833896767076
7,0.8611696522655427,0.835506519558676,0.8932975871313673,0.8634361233480177,0.08451742937177953,1666,1603,328,199,0.7225832683413339
8,0.8735511064278187,0.8777959629023458,0.8627345844504022,0.8702001081665764,0.08255409011254194,1609,1707,224,256,0.7469515387642944
9,0.8709167544783983,0.9149064574532287,0.8128686327077748,0.8608745031232254,0.08080048552931171,1516,1790,141,349,0.7412622956885488
10,0.8717070600632244,0.8518896833503575,0.8943699731903485,0.8726131310489145,0.08430101070062378,1668,1641,290,197,0.7435550707138863
11,0.8838250790305585,0.9054669703872438,0.8525469168900804,0.8782104391052197,0.07531681090389213,1590,1765,166,275,0.7673475241806056
12,0.8793466807165438,0.8533400301356102,0.9109919571045576,0.8812240663900416,0.09932655441497223,1699,1639,292,166,0.7588987630749142
13,0.8817175974710221,0.8672199170124482,0.896514745308311,0.8816240442921172,0.09260478766695905,1672,1675,256,193,0.7635001889884925
14,0.8856691253951527,0.8686244204018547,0.9040214477211796,0.8859695218076721,0.09037824857536432,1686,1676,255,179,0.7714282860173766
15,0.8943624868282403,0.9062153163152054,0.8756032171581769,0.8906463048813744,0.08266869759691528,1633,1762,169,232,0.7885390121681379
16,0.8880400421496312,0.8640040444893832,0.9163538873994638,0.8894093156388237,0.08320600126189885,1709,1662,269,156,0.7762440624857838
17,0.8761854583772392,0.9428571428571428,0.7962466487935657,0.8633720930232558,0.0917574111745154,1485,1841,90,380,0.7516360432046262
18,0.9043730242360379,0.9055075593952484,0.8991957104557641,0.9023405972558514,0.086957268036109,1677,1756,175,188,0.8086654228986977
19,0.90463645943098,0.8999467802022353,0.9067024128686327,0.9033119658119658,0.0997536078159716,1691,1743,188,174,0.8092397169508273
20,0.9077976817702845,0.9044313934863855,0.9083109919571045,0.9063670411985019,0.10457514936852223,1694,1752,179,171,0.8155531226720281
21,0.9083245521601686,0.9067024128686327,0.9067024128686327,0.9067024128686327,0.11381833724092665,1691,1757,174,174,0.8165936609266338
22,0.9080611169652265,0.9062165058949625,0.9067024128686327,0.9064593942642722,0.11841649910262358,1691,1756,175,174,0.8160683166414353
23,0.9088514225500527,0.8982695332983744,0.9184986595174263,0.908271474019088,0.12454371845390887,1713,1737,194,152,0.8177178733400301
24,0.910958904109589,0.9093833780160858,0.9093833780160858,0.9093833780160858,0.1243232693758698,1696,1762,169,169,0.8218639580264431
25,0.910958904109589,0.9102632993014508,0.9083109919571045,0.9092860976918947,0.1270045523950781,1694,1764,167,171,0.82185742851724
