Epoch,Accuracy,Precision,Recall,F1-Score,Loss,TP,TN,FP,FN,Kappa
1,0.8448366701791359,0.8501646542261251,0.8305630026809652,0.8402495253593708,0.09489833593399934,1549,1658,273,316,0.6894571398729297
2,0.8519494204425712,0.8474666666666667,0.8520107238605898,0.8497326203208556,0.08636362268908383,1589,1645,286,276,0.7038364414038585
3,0.8651211801896733,0.8845935190449119,0.8343163538873994,0.858719646799117,0.08020485594507515,1556,1728,203,309,0.7298984356347196
4,0.8677555321390937,0.9073520621637776,0.8139410187667561,0.858111927642736,0.08322667767803084,1518,1776,155,347,0.7349647939528994
5,0.8585353003161222,0.8947681331747919,0.806970509383378,0.8486044544685648,0.09028200809897814,1505,1754,177,360,0.7165096643484394
6,0.8677555321390937,0.8822209758833427,0.84343163538874,0.862390350877193,0.08285728893836507,1573,1721,210,292,0.7352321410856251
7,0.8456269757639621,0.949402670414617,0.7243967828418231,0.8217761557177615,0.10572445824412575,1351,1859,72,514,0.6899046457092242
8,0.8740779768177028,0.8640419947506561,0.882573726541555,0.8732095490716181,0.08080700828887137,1646,1672,259,219,0.748172101808815
9,0.8669652265542677,0.9260651629072681,0.7924932975871314,0.8540884137532505,0.09274119917534927,1478,1813,118,387,0.7331923334515447
10,0.8946259220231823,0.907623817473567,0.8745308310991957,0.8907700709994538,0.07121473950411422,1631,1765,166,234,0.7890566760144493
11,0.8959430979978925,0.9195205479452054,0.8638069705093834,0.8907934752557367,0.07372212086512743,1611,1790,141,254,0.7916074834625219
12,0.8959430979978925,0.92,0.8632707774798928,0.8907330567081605,0.0762278120984393,1610,1791,140,255,0.7916036602993173
13,0.8946259220231823,0.9251305861868834,0.8546916890080429,0.8885172798216278,0.07873419656941336,1594,1802,129,271,0.7889134520129821
14,0.8959430979978925,0.9214449541284404,0.8616621983914209,0.8905513992795788,0.0818392285651226,1607,1794,137,258,0.7915921899679818
15,0.9009483667017913,0.9120088544548977,0.8836461126005362,0.8976034858387799,0.07904691287601961,1648,1772,159,217,0.8017314547615007
16,0.8977871443624869,0.9207977207977208,0.8664879356568365,0.8928176795580112,0.08535307627740474,1616,1792,139,249,0.7953061482592279
17,0.8983140147523709,0.9218482601254991,0.8664879356568365,0.8933112216694306,0.08901031939675924,1616,1794,137,249,0.7963575353588026
18,0.8998946259220232,0.9169006176305446,0.8756032171581769,0.8957761930883159,0.0854936856344672,1633,1783,148,232,0.7995744388770678
19,0.8943624868282403,0.9280701754385965,0.8509383378016085,0.8878321678321677,0.0905504686536132,1587,1808,123,278,0.788360491630054
20,0.9004214963119073,0.9128262076624097,0.8815013404825738,0.8968903436988542,0.08540223819548137,1644,1774,157,221,0.8006658696383616
21,0.8996311907270811,0.9230330672748005,0.8680965147453084,0.8947222989776182,0.08795130707017362,1619,1796,135,246,0.798997234863183
22,0.8993677555321391,0.9249283667621776,0.8654155495978553,0.8941828254847646,0.08816441217019322,1614,1800,131,251,0.7984530300734846
23,0.8969968387776607,0.9230769230769231,0.8621983914209115,0.8915996673135569,0.09020245826957224,1608,1797,134,257,0.7936988638006303
24,0.8975237091675448,0.9197952218430034,0.8670241286863271,0.8926304167816727,0.0881488327254925,1617,1790,141,248,0.7947842338506147
25,0.898840885142255,0.9143816452154448,0.8761394101876676,0.8948521358159913,0.08605694873660834,1634,1778,153,231,0.7974758394671915
