Epoch,Accuracy,Precision,Recall,F1-Score,Loss,TP,TN,FP,FN,Kappa
1,0.8408851422550052,0.8473829201101928,0.8246648793565684,0.8358695652173913,0.09264066634803728,1538,1654,277,327,0.6815281422021215
2,0.8782929399367756,0.9020057306590258,0.8439678284182306,0.8720221606648201,0.07695911061587901,1574,1760,171,291,0.7562442405600782
3,0.8788198103266597,0.9219219219219219,0.8230563002680965,0.8696883852691217,0.07716099594035691,1535,1801,130,330,0.7571212182328779
4,0.8790832455216017,0.8945005611672279,0.8546916890080429,0.8741431313408281,0.07691252776455955,1594,1743,188,271,0.7579092396547968
5,0.8954162276080084,0.9282380396732789,0.853083109919571,0.8890751606594022,0.07447590750374206,1591,1808,123,274,0.7904792994640094
6,0.8983140147523709,0.9074380165289256,0.8831099195710456,0.8951086956521739,0.06969366506825508,1647,1763,168,218,0.7964732829304949
7,0.8938356164383562,0.9325443786982248,0.8450402144772118,0.8866385372714487,0.08500121856546,1576,1817,114,289,0.7872658905199219
8,0.8943624868282403,0.9346793349168646,0.8439678284182306,0.8870104254719641,0.07899992716340672,1574,1821,110,291,0.7883099855312791
9,0.8954162276080084,0.895048439181916,0.8916890080428954,0.8933655654042438,0.0771645526386978,1663,1736,195,202,0.7907557835362907
10,0.9070073761854583,0.9329896907216495,0.8734584450402145,0.9022431459429521,0.08259648533716593,1629,1814,117,236,0.8137554247693048
11,0.8943624868282403,0.9126268320180383,0.8680965147453084,0.8898048914536961,0.10299172123660529,1619,1776,155,246,0.7884847117203845
12,0.8980505795574288,0.9170428893905191,0.871313672922252,0.8935936211163046,0.0973608280513416,1625,1784,147,240,0.7958655411553296
13,0.91622760800843,0.9382436260623229,0.8879356568364611,0.912396694214876,0.08135155555512462,1656,1822,109,209,0.8322508383094567
14,0.91622760800843,0.9402390438247012,0.8857908847184987,0.9122032026504695,0.08616459638064823,1652,1826,105,213,0.8322385290143759
15,0.9191253951527925,0.9376404494382022,0.8949061662198391,0.9157750342935528,0.0897000527502017,1669,1820,111,196,0.8380757591336414
16,0.9204425711275026,0.9458071876782659,0.8890080428954423,0.9165284687672748,0.09770440219364691,1658,1836,95,207,0.8406735121200994
17,0.9217597471022129,0.9321940463065049,0.9067024128686327,0.9192715411796685,0.09829618705601458,1691,1808,123,174,0.8433989918969494
18,0.9204425711275026,0.9452991452991453,0.8895442359249329,0.916574585635359,0.09993746185045223,1659,1835,96,206,0.8406764349852752
19,0.9238672286617492,0.9358407079646017,0.9072386058981233,0.9213177239313912,0.09639593107268622,1692,1815,116,173,0.847608818497575
20,0.9230769230769231,0.9386503067484663,0.9024128686327078,0.9201749589939857,0.09968112175646301,1683,1821,110,182,0.8460057255763435
21,0.9207060063224447,0.9418079096045198,0.8938337801608579,0.917193947730399,0.10144373130748094,1667,1828,103,198,0.841225841953432
22,0.9238672286617492,0.9441939120631342,0.8981233243967829,0.9205825776312175,0.10349284103375764,1675,1832,99,190,0.8475613009655638
23,0.9246575342465754,0.9369120088544549,0.9077747989276139,0.9221132897603486,0.09809233131450458,1693,1817,114,172,0.8491893512281627
24,0.9241306638566913,0.9417366946778711,0.9013404825737266,0.9210958904109589,0.09876663267104106,1681,1827,104,184,0.8481040938678819
25,0.9236037934668072,0.9411764705882353,0.900804289544236,0.9205479452054794,0.10059445936947245,1680,1826,105,185,0.8470492611864089
