Epoch,Accuracy,Precision,Recall,F1-Score,Loss,TP,TN,FP,FN,Kappa
1,0.8148050579557429,0.7795957651588066,0.868632707774799,0.8217093583565812,0.10616968294215026,1620,1473,458,245,0.630219846001379
2,0.8435194942044257,0.9040050858232677,0.7624664879356569,0.8272251308900525,0.09282654833178124,1422,1780,151,443,0.6861044653489357
3,0.8553740779768177,0.8949579831932774,0.7994638069705093,0.8445199660152931,0.08969713666636273,1491,1756,175,374,0.7101321149632742
4,0.8609062170706007,0.8888888888888888,0.8193029490616622,0.8526785714285715,0.0941134129029682,1528,1740,191,337,0.7213555301172224
5,0.8590621707060063,0.8449170124481328,0.8734584450402145,0.858950698655418,0.0879441062096424,1629,1632,299,236,0.7182017842067784
6,0.8100632244467861,0.8170731707317073,0.7903485254691689,0.8034886890160807,0.1090665491821894,1474,1601,330,391,0.6197990610401684
7,0.8767123287671232,0.8733297701763763,0.8761394101876676,0.8747323340471093,0.07653019120337715,1634,1694,237,231,0.7533636557746702
8,0.8827713382507903,0.9061784897025171,0.8493297587131368,0.8768336562413507,0.08289633811038337,1584,1767,164,281,0.7652200695269488
9,0.8706533192834562,0.8566978193146417,0.8847184986595175,0.8704827222368768,0.08540122174079853,1650,1655,276,215,0.7413729752051437
10,0.886722866174921,0.8914348063284233,0.8761394101876676,0.883720930232558,0.07749072741815237,1634,1732,199,231,0.7733107534763471
11,0.8840885142255005,0.8857606930157012,0.8772117962466488,0.8814655172413793,0.07541746076184655,1636,1720,211,229,0.7680686729130083
12,0.8854056902002108,0.8885869565217391,0.8766756032171582,0.882591093117409,0.07990066751296013,1635,1726,205,230,0.7706895450341481
13,0.8885669125395153,0.8822905620360552,0.892225201072386,0.8872300719808052,0.07735643068326536,1664,1709,222,201,0.7771093234662444
14,0.881190727081138,0.8976377952755905,0.8557640750670241,0.8762009332967334,0.08411876538530919,1596,1749,182,269,0.7621199607385859
15,0.8772391991570073,0.9141503848431024,0.8278820375335121,0.8688801350590883,0.09145848488766853,1544,1786,145,321,0.7540074320533934
16,0.8912012644889358,0.8865814696485623,0.8927613941018767,0.8896606999732835,0.08803849752984541,1665,1718,213,200,0.7823626554247054
17,0.8777660695468915,0.8704389212057113,0.882573726541555,0.8764643237486689,0.08767906805054845,1646,1686,245,219,0.7555164618689885
18,0.9022655426765016,0.9055374592833876,0.8943699731903485,0.8999190720258969,0.08407362431849111,1668,1757,174,197,0.8044307601381564
19,0.9017386722866175,0.9172259507829977,0.8793565683646113,0.8978921434437448,0.09368496485941653,1640,1783,148,225,0.8032791167214168
20,0.9017386722866175,0.9181614349775785,0.87828418230563,0.8977802137571939,0.09643702107816307,1638,1785,146,227,0.8032719009003952
21,0.9043730242360379,0.9162971175166297,0.8863270777479892,0.9010629599345871,0.10043162085583043,1653,1780,151,212,0.8085812193586424
22,0.898840885142255,0.9297736506094022,0.8589812332439678,0.8929765886287625,0.11400782818993352,1602,1810,121,263,0.7973569139324629
23,0.8993677555321391,0.9254159495123351,0.8648793565683646,0.8941241685144125,0.11417945493621118,1613,1801,130,252,0.7984493322610444
24,0.9027924130663857,0.9225988700564972,0.8756032171581769,0.8984869325997249,0.11059409784088334,1633,1794,137,232,0.805356596946234
25,0.9004214963119073,0.9165266106442577,0.8772117962466488,0.8964383561643835,0.11120840855182254,1636,1782,149,229,0.800636623201595
