Epoch,Accuracy,Precision,Recall,F1-Score,Loss,TP,TN,FP,FN,Kappa
1,0.7826659641728135,0.7203389830508474,0.9115281501340483,0.8047337278106509,0.1179380087442971,1700,1271,660,165,0.5671637665335232
1,0.7773972602739726,0.9194078947368421,0.5994638069705094,0.7257383966244726,0.12864890390000178,1118,1833,98,747,0.5519956155175372
2,0.8345626975763962,0.837793555434189,0.8225201072386059,0.8300865800865802,0.09477824539542826,1534,1634,297,331,0.6689221938934939
3,0.8469441517386723,0.8785377358490566,0.7989276139410187,0.8368435832631284,0.08997685912097593,1490,1725,206,375,0.6933208148090879
4,0.8414120126448894,0.8494742667404538,0.8230563002680965,0.8360566448801742,0.09080927532452804,1535,1659,272,330,0.6825594036341047
5,0.8414120126448894,0.9196013289036545,0.7420911528150134,0.8213649851632047,0.09517386621619929,1384,1810,121,481,0.6816780356797101
6,0.84536354056902,0.7947416974169742,0.9238605898123324,0.8544507810562856,0.10108842553513947,1723,1486,445,142,0.6914901335081911
7,0.83377239199157,0.7845940959409594,0.9120643431635389,0.843540788494917,0.09880209958928592,1701,1464,467,164,0.6683650327830812
8,0.8635405690200211,0.9054786273329319,0.8064343163538874,0.8530913216108905,0.0820412387869255,1504,1774,157,361,0.726487328293713
9,0.8598524762908325,0.8950800237107291,0.8096514745308311,0.8502252252252253,0.08204711381310657,1510,1754,177,355,0.7191621278168658
10,0.8627502634351949,0.8990498812351544,0.8117962466487936,0.8531980839673148,0.08335844907042099,1514,1761,170,351,0.7249613527725596
11,0.8640674394099052,0.866376969038566,0.8552278820375335,0.8607663248785753,0.08243631226480698,1595,1685,246,270,0.7279928499276356
12,0.8601159114857745,0.8463136033229491,0.8739946380697051,0.8599314165127935,0.08368984102276404,1630,1635,296,235,0.7203035638165607
13,0.8714436248682824,0.8923076923076924,0.8396782841823056,0.8651933701657458,0.08428102343081172,1566,1742,189,299,0.7425500009033588
14,0.8698630136986302,0.8941920644048303,0.8337801608579088,0.862930077691454,0.08190321298149288,1555,1747,184,310,0.7393463782648353
15,0.8772391991570073,0.8853994490358127,0.8616621983914209,0.8733695652173913,0.08069264375309296,1607,1723,208,258,0.7542915799109084
16,0.8648577449947313,0.8539267015706806,0.8745308310991957,0.8641059602649007,0.08577517503273877,1631,1652,279,234,0.7297451981791939
17,0.8698630136986302,0.9324921135646688,0.7924932975871314,0.8568115942028985,0.08982528859182203,1478,1824,107,387,0.7389776104340806
18,0.8819810326659642,0.9005087620124365,0.8541554959785522,0.8767198679141442,0.0821534680267374,1593,1755,176,272,0.763682806733577
19,0.8640674394099052,0.826318335752298,0.9158176943699732,0.8687690742624617,0.09904473630988184,1708,1572,359,157,0.7285551115707095
20,0.8703898840885143,0.8638049814520403,0.8739946380697051,0.8688699360341152,0.08572998329667321,1630,1674,257,235,0.7407536449474061
21,0.8614330874604847,0.816548463356974,0.9260053619302949,0.8678391959798994,0.0946872387124565,1727,1543,388,138,0.723415979487833
22,0.8925184404636459,0.9122807017543859,0.864343163538874,0.8876651982378854,0.08713768940768327,1612,1776,155,253,0.7847786083748531
23,0.898840885142255,0.8987614431879375,0.8949061662198391,0.8968296614723267,0.11436220494249111,1669,1743,188,196,0.7976057545422156
24,0.9022655426765016,0.9099890230515917,0.8890080428954423,0.8993761866015731,0.11171994159278804,1658,1767,164,207,0.8043949047416925
25,0.9022655426765016,0.914079822616408,0.8841823056300268,0.8988825292995367,0.11905434619619641,1649,1776,155,216,0.8043626236420284
