Epoch,Train Loss,Train Accuracy,Train Kappa
1.0,1.074,0.531,0.041
2.0,0.968,0.574,0.418
3.0,0.947,0.587,0.353
4.0,0.936,0.581,0.198
5.0,0.942,0.582,0.35
6.0,0.927,0.59,0.264
7.0,0.927,0.59,0.151
8.0,0.906,0.619,0.193
9.0,0.887,0.612,0.364
10.0,0.891,0.624,0.421
11.0,0.887,0.627,0.319
12.0,0.883,0.632,0.204
13.0,0.869,0.639,0.426
14.0,0.875,0.63,0.515
15.0,0.865,0.641,0.476
16.0,0.865,0.637,0.375
17.0,0.858,0.65,0.421
18.0,0.855,0.654,0.668
19.0,0.847,0.64,0.342
20.0,0.837,0.649,0.421
21.0,0.831,0.652,0.6
22.0,0.822,0.655,0.724
23.0,0.821,0.66,0.4
24.0,0.817,0.661,0.355
25.0,0.81,0.679,0.516
26.0,0.813,0.664,0.421
27.0,0.81,0.662,0.221
28.0,0.807,0.664,0.386
29.0,0.801,0.672,0.491
30.0,0.781,0.671,0.57
31.0,0.787,0.68,0.413
32.0,0.771,0.676,0.733
33.0,0.777,0.686,0.558
34.0,0.765,0.679,0.5
35.0,0.779,0.677,0.589
36.0,0.763,0.7,0.289
37.0,0.75,0.698,0.466
38.0,0.742,0.687,0.624
39.0,0.716,0.72,0.567
40.0,0.693,0.716,0.416
41.0,0.688,0.728,0.661
42.0,0.673,0.726,0.543
