Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.0631,0.5991,0.3691
2,0.0478,0.7078,0.5221
3,0.0413,0.747,0.581
4,0.0382,0.7692,0.6137
5,0.038,0.7566,0.5977
6,0.0352,0.7798,0.6324
7,0.0327,0.8057,0.6726
8,0.0327,0.7924,0.651
9,0.0282,0.823,0.6991
10,0.0295,0.816,0.6891
11,0.0251,0.8382,0.7238
12,0.0268,0.826,0.7047
13,0.0276,0.8219,0.6977
14,0.0237,0.8472,0.7387
15,0.0252,0.8392,0.7249
16,0.0224,0.8624,0.7622
17,0.0232,0.8504,0.7441
18,0.0214,0.86,0.7598
19,0.0247,0.8464,0.7376
20,0.0197,0.8746,0.7835
21,0.02,0.8767,0.7877
22,0.0166,0.8911,0.8102
23,0.0205,0.8681,0.7734
24,0.0187,0.8826,0.7966
25,0.0166,0.8962,0.8191
