Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.0598,0.6333,0.4196
2,0.0421,0.7473,0.5841
3,0.0389,0.7721,0.6234
4,0.0317,0.8132,0.6832
5,0.0297,0.8183,0.6925
6,0.0286,0.8227,0.6996
7,0.0258,0.838,0.7245
8,0.0248,0.8529,0.7476
9,0.022,0.8643,0.7672
10,0.0193,0.8836,0.7993
11,0.0177,0.8923,0.8131
12,0.0169,0.9013,0.828
13,0.0178,0.8923,0.8129
14,0.0157,0.9054,0.8352
15,0.0187,0.8891,0.8077
16,0.0122,0.9186,0.8569
17,0.0144,0.9137,0.8492
18,0.0131,0.9166,0.8538
19,0.0134,0.9227,0.8643
20,0.013,0.9212,0.8617
21,0.0115,0.9288,0.8748
22,0.0135,0.9243,0.8668
23,0.0113,0.9278,0.8733
24,0.0131,0.9176,0.8556
25,0.0085,0.9479,0.908
