Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.0579,0.6498,0.4409
2,0.0431,0.7338,0.5629
3,0.0364,0.7829,0.6364
4,0.0344,0.7778,0.6294
5,0.0331,0.7967,0.6587
6,0.0311,0.8146,0.6873
7,0.0297,0.8128,0.6845
8,0.0258,0.8382,0.7232
9,0.0254,0.8457,0.7358
10,0.024,0.8476,0.7397
11,0.0222,0.8692,0.7746
12,0.0228,0.8537,0.7489
13,0.0206,0.8698,0.7765
14,0.0213,0.8694,0.775
15,0.0197,0.8755,0.7854
16,0.0188,0.8753,0.7848
17,0.0168,0.8897,0.8087
18,0.0182,0.8885,0.8066
19,0.0157,0.8938,0.8152
20,0.017,0.8993,0.8249
21,0.0119,0.9276,0.873
22,0.0094,0.939,0.8922
23,0.0096,0.9465,0.9053
24,0.0077,0.9487,0.9092
25,0.0077,0.9565,0.9227
