Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.0558,0.652,0.4472
2,0.0422,0.7381,0.5691
3,0.0391,0.7584,0.6006
4,0.0346,0.7937,0.6538
5,0.0318,0.7973,0.6611
6,0.0285,0.8225,0.6995
7,0.0279,0.8266,0.7042
8,0.0251,0.8449,0.735
9,0.0249,0.8384,0.7245
10,0.0246,0.8478,0.7388
11,0.0218,0.8628,0.7637
12,0.023,0.8592,0.7577
13,0.0217,0.8663,0.7694
14,0.0204,0.874,0.7819
15,0.0184,0.883,0.798
16,0.0173,0.8952,0.8171
17,0.0163,0.8954,0.8173
18,0.0166,0.8962,0.819
19,0.0158,0.8968,0.8199
20,0.0143,0.9076,0.8387
21,0.0146,0.9082,0.8395
22,0.0153,0.9031,0.8306
23,0.0153,0.9003,0.8259
24,0.0133,0.9172,0.8551
25,0.012,0.9274,0.8722
