Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.0613,0.6313,0.415
2,0.0413,0.7456,0.5817
3,0.0343,0.7959,0.6581
4,0.0295,0.8085,0.6758
5,0.0243,0.8451,0.7349
6,0.0246,0.8453,0.7356
7,0.0212,0.8635,0.7653
8,0.0193,0.8814,0.7945
9,0.0187,0.8795,0.7911
10,0.0177,0.8962,0.8198
11,0.0171,0.8891,0.8073
12,0.0144,0.9125,0.8468
13,0.0161,0.8995,0.8251
14,0.0161,0.9017,0.8291
15,0.0129,0.9115,0.8455
16,0.013,0.9215,0.8623
17,0.0145,0.9131,0.8474
18,0.0137,0.9129,0.8475
19,0.0122,0.9227,0.864
20,0.0101,0.9365,0.8881
21,0.0125,0.9249,0.8683
22,0.0092,0.9424,0.8982
23,0.0079,0.9505,0.9122
24,0.0074,0.953,0.9165
25,0.0075,0.9518,0.9147
