Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.0638,0.602,0.3745
2,0.0508,0.6868,0.493
3,0.0468,0.7092,0.5277
4,0.042,0.7297,0.5571
5,0.0412,0.7442,0.5789
6,0.0375,0.7633,0.6082
7,0.0365,0.7603,0.6053
8,0.0343,0.7833,0.636
9,0.0327,0.7882,0.6457
10,0.0325,0.7845,0.6407
11,0.0307,0.8053,0.6724
12,0.0313,0.8046,0.6709
13,0.0291,0.8085,0.6769
14,0.0294,0.8099,0.6781
15,0.0295,0.8146,0.6857
16,0.0282,0.8169,0.6899
17,0.0265,0.824,0.7005
18,0.0286,0.8213,0.6974
19,0.0271,0.8177,0.6914
20,0.0239,0.8433,0.7329
21,0.0262,0.8331,0.7157
22,0.0252,0.8303,0.7116
23,0.0236,0.8451,0.7355
24,0.0229,0.8486,0.7412
25,0.0224,0.8508,0.7446
