Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.0558,0.652,0.4472
2,0.0422,0.7381,0.5691
3,0.0391,0.7584,0.6006
4,0.0346,0.7937,0.6538
5,0.0318,0.7973,0.6611
6,0.0285,0.8225,0.6995
7,0.0279,0.8266,0.7042
8,0.0251,0.8449,0.735
9,0.0249,0.8384,0.7245
10,0.0246,0.8478,0.7388
11,0.0218,0.8628,0.7637
12,0.023,0.8592,0.7577
13,0.0217,0.8663,0.7694
14,0.0204,0.874,0.7819
15,0.0184,0.883,0.798
16,0.0173,0.8952,0.8171
17,0.0163,0.8954,0.8173
18,0.0166,0.8962,0.819
19,0.0158,0.8968,0.8199
20,0.0143,0.9076,0.8387
21,0.0146,0.9082,0.8395
22,0.0153,0.9031,0.8306
23,0.0153,0.9003,0.8259
24,0.0133,0.9172,0.8551
25,0.012,0.9274,0.8722
1,0.0586,0.6345,0.4244
2,0.0469,0.7092,0.5287
3,0.0401,0.7572,0.5994
4,0.0358,0.7727,0.622
5,0.0341,0.7967,0.6589
6,0.0293,0.8154,0.6878
7,0.0284,0.8225,0.6979
8,0.0252,0.837,0.7227
9,0.0297,0.8142,0.6866
10,0.0263,0.837,0.723
11,0.0217,0.8612,0.7622
12,0.0226,0.8606,0.7602
13,0.0195,0.8769,0.7874
14,0.0204,0.8712,0.7784
15,0.0204,0.8604,0.761
16,0.0192,0.8736,0.7819
17,0.0177,0.8826,0.7961
18,0.0166,0.8915,0.8117
19,0.0139,0.909,0.8415
20,0.0125,0.9155,0.8519
21,0.013,0.9119,0.8458
22,0.0111,0.9269,0.8717
23,0.012,0.9217,0.8626
24,0.0113,0.928,0.8732
25,0.0114,0.9227,0.8644
