Epoch,Train Loss,Train Accuracy,Train Kappa
1,0.0767,0.5501,0.3028
2,0.0584,0.6388,0.4254
3,0.054,0.6642,0.4616
4,0.048,0.7076,0.5242
5,0.0448,0.7139,0.5303
6,0.0442,0.7206,0.5418
7,0.0412,0.7436,0.5781
8,0.0414,0.7336,0.5596
9,0.041,0.7505,0.5859
10,0.0379,0.7641,0.6081
11,0.0397,0.7566,0.596
12,0.0355,0.7764,0.6253
13,0.0348,0.7812,0.634
14,0.0355,0.7839,0.6376
15,0.0334,0.7898,0.6447
16,0.0336,0.7977,0.6584
17,0.0321,0.7939,0.6532
18,0.0306,0.8118,0.6807
19,0.0309,0.8006,0.663
20,0.0306,0.8079,0.6751
21,0.0312,0.8097,0.6785
22,0.0298,0.8146,0.6835
23,0.0281,0.8156,0.6878
24,0.0199,0.8807,0.7917
25,0.017,0.8854,0.8012
