iter	Passed	Remaining
0	5173	1546902
1	10292	1533606
2	15352	1519877
3	20495	1516702
4	25628	1512067
5	30776	1508034
6	36018	1507643
7	41149	1501969
8	46720	1510640
9	53168	1541881
10	58437	1535304
11	63619	1526869
12	68740	1517574
13	73887	1509411
14	79017	1501325
15	84256	1495556
16	89501	1489929
17	94671	1483179
18	99880	1477187
19	104884	1468379
20	109917	1460331
21	115089	1454306
22	120204	1447678
23	125351	1441538
24	130508	1435596
25	135650	1429552
26	140706	1422700
27	145823	1416572
28	150810	1409295
29	156022	1404205
30	161176	1398595
31	166342	1393115
32	171526	1387801
33	176639	1381943
34	181840	1376795
35	186951	1370980
36	192040	1365043
37	197172	1359453
38	202269	1353651
39	207437	1348346
40	212553	1342713
41	217683	1337198
42	222776	1331481
43	228065	1326923
44	233159	1321239
45	238252	1315569
46	243525	1310890
47	248634	1305330
48	253722	1299681
49	258840	1294200
50	263975	1288822
51	269066	1283241
52	274313	1278404
53	279427	1272946
54	284598	1267757
55	289687	1262208
56	294782	1256706
57	299919	1251387
58	305058	1246086
59	310198	1240793
60	315271	1235242
61	320404	1229940
62	325479	1224422
63	330576	1218999
64	335801	1214053
65	340869	1208537
66	345976	1203171
67	351186	1198164
68	356381	1193103
69	361355	1187311
70	366473	1182006
71	371633	1176838
72	376756	1171557
73	381835	1166147
74	386928	1160784
75	392066	1155564
76	397370	1150827
77	402445	1145421
78	407588	1140215
79	412847	1135331
80	417995	1130135
81	423060	1124721
82	428131	1119331
83	433255	1114084
84	438303	1108649
85	443418	1103390
86	448596	1098289
87	453713	1093036
88	458785	1087682
89	463775	1082142
90	468832	1076768
91	473931	1071497
92	479231	1066677
93	484528	1061839
94	489833	1057008
95	495131	1052154
96	500356	1047137
97	505651	1042260
98	510969	1037422
99	516402	1032804
100	521699	1027903
101	526825	1022662
102	531931	1017383
103	537046	1012126
104	542205	1006952
105	547323	1001704
106	552443	996463
107	557473	991064
108	562660	985946
109	567665	980513
110	572767	975253
111	577939	970112
112	583016	964815
113	588014	959391
114	593102	954121
115	598209	948883
116	603338	943682
117	608501	938535
118	613639	933351
119	618698	928047
120	623772	922771
121	628865	917525
122	634053	912418
123	639332	907439
124	644421	902190
125	649481	896903
126	654495	891557
127	659566	886292
128	664622	881011
129	669715	875781
130	674846	870603
131	679973	865420
132	685023	860142
133	690095	854894
134	695410	849946
135	700517	844741
136	705534	839431
137	710552	834126
138	715786	829075
139	720870	823852
140	725937	818610
141	731024	813393
142	736109	808176
143	741219	802987
144	746310	797779
145	751369	792540
146	756623	787505
147	761657	782243
148	766739	777031
149	771889	771889
150	776955	766664
151	781955	761378
152	786962	756101
153	791995	750852
154	797033	745612
155	802071	740374
156	807139	735165
157	812087	729851
158	817291	724767
159	822352	719558
160	827448	714380
161	832610	709260
162	837690	704071
163	842744	698861
164	847829	693678
165	852867	688459
166	857920	683253
167	863080	678134
168	868169	672959
169	873284	667806
170	878459	662697
171	883519	657502
172	888557	652293
173	893687	647152
174	898740	641957
175	903833	636791
176	908946	631640
177	914065	626494
178	919157	621330
179	924227	616151
180	929357	611014
181	934460	605859
182	939532	600684
183	944648	595539
184	949738	590377
185	954845	585228
186	959922	580060
187	966562	575824
188	971751	570711
189	976902	565574
190	982002	560409
191	987047	555214
192	992168	550062
193	997407	544975
194	1002510	539813
195	1007643	534667
196	1012766	529517
197	1017800	524321
198	1022907	519164
199	1027952	513976
200	1033006	508794
201	1038072	503619
202	1043148	498450
203	1048191	493266
204	1053348	488137
205	1058549	483027
206	1063624	477860
207	1068777	472728
208	1073834	467554
209	1078910	462390
210	1084074	457263
211	1089220	452129
212	1094303	446968
213	1099319	441782
214	1104292	436580
215	1109246	431373
216	1114344	426223
217	1119429	421069
218	1124537	415924
219	1129641	410778
220	1134951	405706
221	1140041	400555
222	1145144	395408
223	1150041	390192
224	1155093	385031
225	1160121	379862
226	1165230	374721
227	1170330	369578
228	1175553	364472
229	1180684	359338
230	1185771	354191
231	1190832	349037
232	1195991	343911
233	1201083	338767
234	1206260	333646
235	1211352	328502
236	1216421	323352
237	1221526	318212
238	1226637	313074
239	1231756	307939
240	1237130	302865
241	1242275	297735
242	1247203	292553
243	1252332	287420
244	1257466	282288
245	1262441	277121
246	1267521	271978
247	1272569	266829
248	1277701	261697
249	1282829	256565
250	1287981	251438
251	1293104	246305
252	1298311	241188
253	1303357	236041
254	1308428	230899
255	1313581	225771
256	1318717	220641
257	1323875	215514
258	1328971	210377
259	1334087	205244
260	1339128	200099
261	1344213	194962
262	1349305	189826
263	1354520	184707
264	1359645	179575
265	1364684	174433
266	1369752	169295
267	1374869	164163
268	1379953	159028
269	1385097	153899
270	1390201	148766
271	1395334	143637
272	1400497	138510
273	1405568	133375
274	1410665	128242
275	1415865	123118
276	1420857	117977
277	1425844	112836
278	1430831	107696
279	1435811	102557
280	1440898	97427
281	1445977	92296
282	1451044	87165
283	1456116	82034
284	1461199	76905
285	1466252	71774
286	1471326	66645
287	1476516	61521
288	1481571	56392
289	1486632	51263
290	1491715	46135
291	1496819	41008
292	1502275	35890
293	1507810	30771
294	1513021	25644
295	1518093	20514
296	1523227	15386
297	1528324	10257
298	1533432	5128
299	1538681	0
